pid,name,user,cpu_percent,memory_mb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,System Idle Process,NT AUTHORITY\SYSTEM,1108.4,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16568,python.exe,DESKTOP-4B1OM9L\Gaming,55.4,18.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,svchost.exe,N/A,10.6,18.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15892,msedge.exe,DESKTOP-4B1OM9L\Gaming,5.5,507.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,svchost.exe,N/A,5.3,21.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,System,NT AUTHORITY\SYSTEM,3.8,26.82,,,,,,,,,,,,,,,Row Labels,CPU util,RAM util,,,,,,,,,,,,,,,,,,,,,,
5260,MsMpEng.exe,N/A,2.3,331.31,,,,,,,,,,,,,,,BatteryWidgetHost.exe,0.7,51.44,,,,,,,,,,,,,,,,,,,,,,
2028,svchost.exe,N/A,1.8,11.48,,,,,,Row Labels,Process count,CPU usage,RAM usage,,,,,,Code.exe,2.7,1008.58,,,,,,,,,,,,,,,,,,,,,,
5292,steamwebhelper.exe,DESKTOP-4B1OM9L\Gaming,1.5,37.29,,,,,,DESKTOP-4B1OM9L\Gaming,145,73,11526.72,,,,,,CrossDeviceService.exe,0.7,89.77,,,,,,,,,,,,,,,,,,,,,,
12080,msedge.exe,DESKTOP-4B1OM9L\Gaming,1.4,292.73,,,,,,N/A,120,23.1,3259.3,,,,,,msedge.exe,7.8,1061.3,,,,,,,,,,,,,,,,,,,,,,
12524,utweb.exe,DESKTOP-4B1OM9L\Gaming,1.4,40.64,,,,,,NT AUTHORITY\SYSTEM,2,1112.2,26.83,,,,,,msedgewebview2.exe,0.7,181.18,,,,,,,,,,,,,,,,,,,,,,
23840,Code.exe,DESKTOP-4B1OM9L\Gaming,1.3,415.74,,,,,,Grand Total,267,1208.3,14812.85,,,,,,MsMpEng.exe,2.3,331.31,,,,,,,,,,,,,,,,,,,,,,
384,msedge.exe,DESKTOP-4B1OM9L\Gaming,0.9,261.02,,,,,,,,,,,,,,,PhoneExperienceHost.exe,0.7,185.7,,,,,,,,,,,,,,,,,,,,,,
2936,svchost.exe,N/A,0.8,11.73,,,,,,,,,,,,,,,python.exe,55.4,18.78,,,,,,,,,,,,,,,,,,,,,,
5116,svchost.exe,N/A,0.8,11.29,,,,,,,,,,,,,,,RtkBtManServ.exe,0.8,10.08,,,,,,,,,,,,,,,,,,,,,,
5216,RtkBtManServ.exe,N/A,0.8,10.08,,,,,,,,,,,,,,,steam.exe,0.7,42.42,,,,,,,,,,,,,,,,,,,,,,
6872,svchost.exe,DESKTOP-4B1OM9L\Gaming,0.7,39.18,,,,,,,,,,,,,,,steamwebhelper.exe,1.5,37.29,,,,,,,,,,,,,,,,,,,,,,
7616,svchost.exe,N/A,0.7,26.53,,,,,,,,,,,,,,,svchost.exe,20.7,140.53,,,,,,,,,,,,,,,,,,,,,,
8400,steam.exe,DESKTOP-4B1OM9L\Gaming,0.7,42.42,,,,,,,,,,,,,,,System,3.8,26.82,,,,,,,,,,,,,,,,,,,,,,
